Gene	OF2_OM1_sc.1	OF2_OM1_sc.2	OF2_OM1_sc.3	OF2_OM1_sc.4	OF2_OM1_sc.5	OF2_OM1_sc.6	OF2_OM1_sc.7	OF2_OM1_sc.8	OF2_OM1_sc.9	OF2_OM1_sc.10	OF2_OM1_sc.11	OF2_OM1_sc.12	OF2_OM1_sc.13	OF2_OM1_sc.14	OF2_OM1_sc.15	OF2_OM1_sc.16	OF2_OM1_sc.17	OF2_OM1_sc.18	OF2_OM1_sc.19	OF2_OM1_sc.20	OF2_OM1_sc.21	OF2_OM1_sc.22	OF2_OM1_sc.23	OF2_OM1_sc.24	OF2_OM1_sc.25	OF2_OM1_sc.26	OF2_OM1_sc.27	OF2_OM1_sc.28	OF2_OM1_sc.29	OF2_OM1_sc.30	OF2_OM1_sc.31	OF2_OM1_sc.32	OF2_OM1_sc.33	OF2_OM1_sc.34	OF2_OM1_sc.35	OF2_OM1_sc.36	OF2_OM1_sc.37	OF2_OM1_sc.38	OF2_OM1_sc.39	OF2_OM1_sc.40	OF2_OM1_sc.41	OF2_OM1_sc.42	OF2_OM1_sc.43	OF2_OM1_sc.44	OF2_OM1_sc.45	OF2_OM1_sc.46	OF2_OM1_sc.47	OF2_OM1_sc.48
A2M	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	30	0	1	38	0	0	0	0	0	1	0	0	0	0	0	0	1	31	21	0	0	0	0	0	0	0	0	0
A2ML1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AAAS	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	7	0	0	150	0	0	0	0	1	0	0	1	0	0	0
AACS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
