Gene	OF2_OO_sc.1	OF2_OO_sc.2	OF2_OO_sc.3	OF2_OO_sc.4	OF2_OO_sc.5	OF2_OO_sc.6	OF2_OO_sc.7	OF2_OO_sc.8	OF2_OO_sc.9	OF2_OO_sc.10	OF2_OO_sc.11	OF2_OO_sc.12	OF2_OO_sc.13	OF2_OO_sc.14	OF2_OO_sc.15	OF2_OO_sc.16	OF2_OO_sc.17	OF2_OO_sc.18	OF2_OO_sc.19	OF2_OO_sc.20	OF2_OO_sc.21	OF2_OO_sc.22	OF2_OO_sc.23	OF2_OO_sc.24	OF2_OO_sc.25	OF2_OO_sc.27	OF2_OO_sc.28	OF2_OO_sc.29	OF2_OO_sc.30	OF2_OO_sc.31	OF2_OO_sc.32	OF2_OO_sc.33	OF2_OO_sc.34	OF2_OO_sc.35	OF2_OO_sc.36	OF2_OO_sc.37	OF2_OO_sc.38
A2M	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1	0	0	0	1	0	0	0	0	0	0	1	46	15	1	0	0	5	3	0	0	17	1	6	36	12	0	0	0	0	0	1	4	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	0	0	0	1	1	0	0	2	39	0	35	481	193	1	4	2	13	15	0	13	153	15	53	205	51	4	0	0	0	0	5	12	0	27	32	5	1
AACS	0	0	0	0	0	0	2	0	2	0	23	209	125	1	4	0	23	7	1	5	117	15	21	112	27	1	0	0	0	0	12	2	0	3	2	0	0
AADAC	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	0	0	0	0	0	0	0	0	0	0	16	36	5	0	1	0	2	2	0	0	9	8	4	5	1	0	0	0	0	0	4	3	0	3	2	0	0
AAGAB	0	0	0	0	0	0	0	0	1	0	12	94	79	1	5	0	10	16	0	2	55	32	7	29	11	0	0	0	0	0	3	0	0	1	13	1	2
AAK1	1	3	0	2	1	0	0	0	10	0	45	115	39	0	1	1	8	6	0	2	29	7	11	53	11	5	0	0	1	0	0	1	0	6	9	2	0
AAMDC	0	1	0	8	0	0	0	1	9	0	127	192	43	1	6	0	32	23	0	3	23	19	10	22	5	4	0	0	1	0	3	7	1	15	16	0	2
AAMP	0	0	0	8	0	0	0	3	23	0	221	832	609	7	13	2	55	53	3	18	477	84	198	569	183	6	0	0	1	0	17	6	0	14	32	7	0
