Gene	OF3_OO_sc.1	OF3_OO_sc.2	OF3_OO_sc.3	OF3_OO_sc.4	OF3_OO_sc.5	OF3_OO_sc.6	OF3_OO_sc.7	OF3_OO_sc.8	OF3_OO_sc.9	OF3_OO_sc.10	OF3_OO_sc.11	OF3_OO_sc.12	OF3_OO_sc.13	OF3_OO_sc.14	OF3_OO_sc.15	OF3_OO_sc.16	OF3_OO_sc.17	OF3_OO_sc.18	OF3_OO_sc.19	OF3_OO_sc.20	OF3_OO_sc.21	OF3_OO_sc.22	OF3_OO_sc.23	OF3_OO_sc.24	OF3_OO_sc.25	OF3_OO_sc.26	OF3_OO_sc.27	OF3_OO_sc.28	OF3_OO_sc.29	OF3_OO_sc.30	OF3_OO_sc.31	OF3_OO_sc.32	OF3_OO_sc.33	OF3_OO_sc.34	OF3_OO_sc.35	OF3_OO_sc.36	OF3_OO_sc.37	OF3_OO_sc.38	OF3_OO_sc.39	OF3_OO_sc.40	OF3_OO_sc.41	OF3_OO_sc.42	OF3_OO_sc.43	OF3_OO_sc.44
A2M	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	23	0	1	1	0	1	0	0	2	0	2	1	0	0	0	0	0
A2ML1	0	0	0	0	0	0	2	1	0	1	1	9	0	0	0	13	0	6	3	12	3	1	0	1	1	0	8	0	7	11	4	2	0	0	0	0	3	1	0	0	2	1	0	0
A3GALT2	0	0	0	0	0	1	1	1	0	0	0	2	0	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	2	0
A4GALT	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0
AAAS	8	4	4	2	13	12	8	10	0	8	6	63	2	22	17	136	11	45	80	89	23	27	8	19	6	1	69	8	41	70	62	47	1	1	5	20	10	20	22	22	23	7	2	3
AACS	1	1	0	0	1	3	0	2	0	0	6	11	2	4	3	50	0	7	3	47	8	4	1	3	2	0	11	0	12	17	13	2	0	2	1	0	4	5	4	1	2	2	1	0
AADAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	0	1	1	0	0	3	1	2	0	1	0	10	0	0	4	11	0	8	4	10	3	0	0	1	0	0	1	0	11	13	9	8	0	0	0	2	2	1	3	0	0	3	0	0
AAGAB	0	4	2	4	5	1	3	3	0	3	0	14	0	0	5	21	4	13	15	30	8	4	2	5	2	1	14	2	13	21	4	7	1	1	2	2	2	2	3	9	1	3	5	0
AAK1	6	2	2	2	13	10	5	7	0	4	2	36	0	11	3	33	6	21	24	36	14	9	2	13	1	0	26	6	18	31	33	17	1	1	1	6	3	8	2	8	4	2	7	1
AAMDC	2	2	2	0	5	0	4	1	0	3	6	23	2	4	2	26	0	6	8	28	4	3	1	2	2	1	12	5	14	17	12	6	1	2	1	8	4	2	7	8	7	5	3	0
AAMP	1	6	3	1	10	6	5	10	0	12	6	71	1	18	14	157	6	37	105	130	28	16	1	6	10	0	65	2	57	92	51	32	2	1	5	19	10	2	12	16	18	4	6	0
AANAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAR2	0	1	0	0	2	0	2	2	0	1	0	17	1	1	2	30	1	1	21	23	1	2	0	2	0	0	6	3	7	9	14	1	0	0	0	0	3	2	2	7	4	3	1	0
AARD	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0
AARS	9	7	3	5	5	8	10	11	1	11	13	52	2	3	9	100	9	29	56	74	18	34	4	27	5	0	33	2	43	71	44	26	1	4	4	7	19	12	15	12	16	11	9	5
AARS2	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	3	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0
AASDH	4	1	0	0	1	3	2	7	0	6	0	25	0	4	6	54	4	10	11	52	22	1	2	3	0	1	22	0	30	33	7	10	4	1	0	8	0	3	1	0	5	0	6	1
AASDHPPT	14	5	12	6	14	9	15	23	0	20	7	112	3	10	33	183	10	66	36	188	64	12	2	15	4	3	113	3	125	129	68	55	5	9	7	10	10	22	16	22	10	8	17	3
AASS	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	2	0	2	0	4	0	0	0	0	0	0	3	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AATF	7	0	2	2	2	4	4	3	0	9	6	25	1	8	11	38	5	16	40	45	13	6	0	8	0	0	20	2	14	31	17	15	4	4	2	2	3	2	9	15	8	2	1	1
AATK	1	1	0	0	0	0	1	0	0	0	0	3	1	1	0	2	0	0	2	2	1	1	0	1	0	0	4	2	2	6	0	2	1	0	1	0	0	0	5	0	3	0	1	0
ABAT	3	2	0	0	4	1	2	2	0	4	0	7	1	1	2	24	3	6	6	20	3	3	1	1	0	0	7	1	16	8	7	9	1	0	0	6	3	2	0	2	1	0	2	0
ABCA1	6	0	1	0	0	3	0	3	0	7	1	21	0	0	4	44	3	21	9	41	14	4	0	3	0	0	18	4	43	19	13	10	1	3	1	4	2	2	4	2	0	2	2	0
ABCA10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA12	1	0	4	0	4	1	5	2	0	4	2	8	1	0	1	13	2	4	7	23	6	2	1	0	0	0	6	2	6	7	2	4	0	0	1	0	0	1	1	4	0	0	0	0
ABCA13	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	6	0	0	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCA2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA3	0	0	0	0	0	0	0	1	0	1	0	4	0	0	0	0	1	0	2	2	0	1	1	2	0	0	1	0	1	2	1	1	0	0	1	0	1	0	0	0	0	0	0	0
ABCA4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0	0	4	2	3	0	0	0	0	0	0	2	2	4	0	0	0	0	0	0	0	0	0	0	2	0	0
ABCA5	8	0	2	0	2	8	0	11	0	4	1	24	1	3	5	42	2	13	13	56	27	5	0	4	1	0	24	4	47	32	22	22	2	1	1	0	0	7	7	4	3	3	7	0
ABCA6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA7	0	0	0	0	0	0	1	0	0	2	0	4	0	1	0	5	0	4	1	5	0	0	0	0	0	0	3	0	3	5	1	1	0	1	2	2	0	0	0	0	1	1	0	0
ABCA8	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB1	2	0	4	0	6	2	2	2	0	1	1	11	0	1	2	65	3	10	6	45	19	0	1	3	0	0	16	3	24	20	9	8	0	2	2	2	3	6	15	7	6	7	1	1
ABCB10	1	1	0	0	0	2	0	6	0	0	6	11	0	0	0	8	0	1	7	8	5	2	0	2	0	0	5	0	8	1	4	1	0	2	0	2	1	0	3	0	1	1	4	0
ABCB11	0	0	1	0	0	0	0	1	0	0	0	3	0	0	0	5	0	3	2	7	1	0	0	0	0	0	2	0	4	3	1	3	0	0	0	1	0	0	0	0	0	0	1	0
ABCB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
