Gene	YF2_OM_sc.1	YF2_OM_sc.2	YF2_OM_sc.3	YF2_OM_sc.4	YF2_OM_sc.5	YF2_OM_sc.6	YF2_OM_sc.7	YF2_OM_sc.8	YF2_OM_sc.9	YF2_OM_sc.10	YF2_OM_sc.11	YF2_OM_sc.12	YF2_OM_sc.13	YF2_OM_sc.14	YF2_OM_sc.15	YF2_OM_sc.16	YF2_OM_sc.17	YF2_OM_sc.18	YF2_OM_sc.19	YF2_OM_sc.20	YF2_OM_sc.21	YF2_OM_sc.22	YF2_OM_sc.23	YF2_OM_sc.24	YF2_OM_sc.25	YF2_OM_sc.26	YF2_OM_sc.27	YF2_OM_sc.28	YF2_OM_sc.29	YF2_OM_sc.30	YF2_OM_sc.31	YF2_OM_sc.32	YF2_OM_sc.33	YF2_OM_sc.34	YF2_OM_sc.35	YF2_OM_sc.36	YF2_OM_sc.37	YF2_OM_sc.38	YF2_OM_sc.39	YF2_OM_sc.40	YF2_OM_sc.41	YF2_OM_sc.42	YF2_OM_sc.43	YF2_OM_sc.44	YF2_OM_sc.45	YF2_OM_sc.46	YF2_OM_sc.47	YF2_OM_sc.48	YF2_OM_sc.49	YF2_OM_sc.50	YF2_OM_sc.51	YF2_OM_sc.52	YF2_OM_sc.53	YF2_OM_sc.54	YF2_OM_sc.55	YF2_OM_sc.56	YF2_OM_sc.58	YF2_OM_sc.59	YF2_OM_sc.60	YF2_OM_sc.61	YF2_OM_sc.62	YF2_OM_sc.63	YF2_OM_sc.64	YF2_OM_sc.65	YF2_OM_sc.66	YF2_OM_sc.67	YF2_OM_sc.68	YF2_OM_sc.69	YF2_OM_sc.70	YF2_OM_sc.71	YF2_OM_sc.72	YF2_OM_sc.73	YF2_OM_sc.74	YF2_OM_sc.75	YF2_OM_sc.76
A2M	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	31	1	0	0	0	0	2	139	0	0	0	62	41	0	7	0	1	0	1	0	0	55	0	0	0	0	91	1	0	0	0	1	1	0	0	0	0	0	0	83	0	0	0	0	0	0
A2ML1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AACS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AADAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
