Gene	YF2_OO_sc.1	YF2_OO_sc.2	YF2_OO_sc.3	YF2_OO_sc.4	YF2_OO_sc.5	YF2_OO_sc.6	YF2_OO_sc.7	YF2_OO_sc.8	YF2_OO_sc.9
A2M	0	0	0	0	0	0	0	0	1
A2ML1	1	0	0	2	0	5	0	0	0
A3GALT2	0	0	0	0	0	0	0	0	0
A4GALT	0	0	0	0	0	0	0	0	0
AAAS	0	0	0	14	0	6	0	0	0
AACS	1	0	0	14	0	9	0	0	0
AADAC	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	1	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0
AADAT	0	0	0	5	0	1	0	0	0
AAGAB	3	0	0	20	0	12	0	0	0
AAK1	2	0	0	1	0	9	0	0	0
AAMDC	0	0	0	39	0	17	0	0	0
AAMP	5	0	0	34	1	28	0	0	0
AANAT	0	0	0	0	0	0	0	0	0
AAR2	0	0	0	0	0	1	0	0	0
AARD	0	0	0	0	0	0	0	0	0
AARS	5	0	1	58	0	21	0	0	0
AARS2	0	0	0	0	0	0	0	0	0
AASDH	6	0	0	23	0	11	0	0	0
AASDHPPT	23	0	0	45	0	50	0	0	0
AASS	0	0	0	0	0	0	0	0	0
AATF	2	0	0	29	0	2	0	0	0
AATK	0	0	0	0	1	3	0	0	0
ABAT	0	0	0	21	0	28	0	0	0
ABCA1	18	2	1	72	0	63	0	0	0
ABCA10	0	0	0	0	0	0	0	0	0
ABCA12	3	0	0	0	0	3	0	0	0
ABCA13	0	0	0	0	0	0	0	0	0
ABCA2	0	0	0	0	0	0	0	0	0
ABCA3	0	0	0	0	0	0	0	0	0
ABCA4	0	0	0	1	0	10	0	0	0
ABCA5	16	0	0	61	0	34	0	0	0
ABCA6	0	0	0	0	0	0	0	0	0
ABCA7	0	0	0	4	2	0	0	0	0
ABCA8	0	0	0	0	0	0	0	0	0
ABCA9	0	0	0	0	0	0	0	0	0
ABCB1	10	0	0	21	0	64	0	0	0
ABCB10	2	0	0	1	0	7	0	0	0
ABCB11	0	0	0	1	0	0	0	0	0
ABCB5	0	0	0	0	0	0	0	0	0
ABCB6	0	0	0	0	0	1	0	0	0
ABCB7	0	0	0	11	0	11	0	0	0
ABCB8	0	0	0	2	0	0	0	0	0
ABCB9	0	0	0	0	0	1	0	0	0
ABCC1	0	0	0	1	0	0	0	0	0
ABCC10	0	0	0	11	2	4	0	0	0
ABCC11	0	0	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0	0
ABCC2	0	0	0	5	0	0	0	0	0
ABCC3	0	0	0	1	0	2	0	0	0
ABCC4	15	0	0	39	0	54	0	0	0
ABCC5	4	0	0	9	2	13	0	0	0
ABCC6	0	0	0	1	0	0	0	0	0
ABCC8	0	0	0	0	0	0	0	0	0
ABCC9	0	0	0	0	0	0	0	0	0
ABCD1	0	0	0	1	0	4	0	0	0
ABCD2	0	0	0	0	0	0	0	0	0
ABCD3	6	0	0	11	0	8	0	2	0
ABCD4	0	0	0	0	0	5	0	0	0
ABCE1	18	0	0	48	0	34	0	0	0
ABCF1	12	0	0	94	5	13	0	0	0
ABCF2	79	0	3	1227	4	831	0	1	0
ABCF3	0	0	0	10	0	3	0	0	0
ABCG1	0	0	0	0	0	0	0	0	0
ABCG2	0	0	0	0	0	0	0	0	0
ABCG4	0	0	0	0	0	0	0	0	0
ABCG5	0	0	0	0	0	0	0	0	0
ABCG8	0	0	0	1	0	0	0	0	0
ABHD1	0	0	0	0	0	0	0	0	0
ABHD10	8	0	0	49	0	21	0	0	0
ABHD11	0	0	0	9	0	3	0	0	0
ABHD12	0	0	0	1	0	8	0	0	0
ABHD12B	0	0	0	0	0	0	0	0	0
ABHD13	0	0	0	3	0	6	0	0	0
ABHD14B	0	0	0	6	0	1	0	0	0
ABHD15	0	0	0	0	0	0	0	0	0
ABHD16A	2	0	0	16	0	14	0	1	0
ABHD16B	0	0	0	0	0	0	0	0	0
ABHD17A	0	0	0	0	0	0	0	0	0
ABHD17B	0	0	0	0	0	0	0	0	0
ABHD17C	0	0	0	0	0	0	0	0	0
ABHD18	10	0	0	23	0	7	0	0	0
ABHD2	0	0	0	3	0	0	0	0	0
ABHD3	3	0	0	0	0	6	0	0	0
ABHD4	0	0	0	4	0	1	0	0	0
ABHD5	4	0	0	2	0	17	0	0	0
ABHD6	0	0	0	0	0	1	0	0	2
ABHD8	0	0	0	0	0	0	0	0	0
ABI1	4	0	0	89	1	85	0	0	0
ABI2	9	0	0	6	0	44	0	0	0
ABI3	0	0	0	0	0	0	0	0	0
ABI3BP	2	0	1	59	0	25	0	0	1
ABL1	5	0	0	8	0	0	0	0	0
ABL2	0	0	0	0	0	5	0	0	0
ABLIM1	0	0	0	11	0	10	0	0	0
ABLIM2	0	0	0	16	0	6	0	0	0
ABLIM3	0	0	0	0	0	0	0	0	0
ABO	0	0	0	0	0	0	0	0	0
ABR	0	0	0	6	0	0	0	0	0
ABRA	0	0	0	0	0	0	0	0	0
ABRACL	0	0	0	25	0	19	0	0	0
ABRAXAS1	5	0	0	12	0	14	0	0	0
ABRAXAS2	8	0	0	23	0	15	0	0	0
ABT1	1	0	0	33	0	11	0	0	0
ABTB1	0	0	0	0	0	0	0	0	0
ABTB2	0	0	0	0	0	1	0	0	0
ACAA1	0	0	0	9	0	3	0	0	0
ACAA2	0	0	0	29	0	38	0	0	0
ACACA	0	0	0	23	0	1	0	0	0
ACACB	0	0	0	0	0	0	0	0	0
ACAD10	0	0	0	2	0	0	0	0	0
ACAD11	8	0	0	6	0	13	0	0	0
ACAD8	0	0	0	0	0	0	0	0	0
ACAD9	0	0	0	0	0	4	0	0	0
ACADL	5	0	0	16	0	5	0	0	0
ACADM	5	0	0	44	0	18	0	1	0
ACADS	0	0	0	6	0	2	0	0	0
ACADSB	0	0	0	10	0	3	0	0	0
ACADVL	0	0	0	2	0	0	0	0	0
ACAN	0	0	0	0	0	0	0	0	0
ACAP1	0	0	0	0	0	0	0	0	0
ACAP2	20	0	2	91	0	63	0	0	0
ACAP3	0	0	0	0	0	0	0	0	0
ACAT1	4	0	0	66	0	14	0	0	0
ACBD3	21	0	0	30	0	34	0	0	0
ACBD4	0	0	0	4	0	1	0	0	0
ACBD5	2	0	0	1	0	13	0	0	0
ACBD6	4	0	0	1	0	7	0	0	0
ACBD7	0	0	0	0	0	0	0	0	0
ACCS	0	0	0	0	0	0	0	0	0
ACCSL	303	0	0	12	0	186	0	0	0
ACD	0	0	0	7	0	6	0	0	0
ACE2	140	1	0	494	1	447	1	0	0
ACER1	0	0	0	0	0	0	0	0	0
ACER2	0	0	0	0	0	0	0	0	0
ACER3	0	0	0	29	0	13	0	0	0
ACHE	0	0	0	0	0	0	0	0	0
ACIN1	24	0	0	81	1	22	0	0	0
ACKR1	0	0	0	0	0	0	0	0	0
ACKR2	0	0	0	0	0	0	0	0	0
ACKR3	0	0	0	0	0	0	0	0	0
ACKR4	0	0	0	0	0	0	0	0	0
ACLY	0	0	0	21	1	39	0	0	0
ACMSD	0	0	0	0	0	0	0	0	0
ACO1	0	0	0	40	0	12	0	0	0
ACO2	0	0	0	47	0	13	0	0	0
ACOD1	0	0	0	0	0	0	0	0	0
ACOT11	0	0	0	0	0	1	0	0	0
ACOT12	0	0	0	6	0	0	0	0	0
ACOT13	1	0	0	61	0	24	0	0	0
ACOT2	0	0	0	53	0	16	0	0	0
ACOT4	0	0	0	24	0	0	0	0	0
ACOT6	0	0	0	5	0	0	0	0	0
ACOT7	0	0	0	8	0	6	0	0	0
ACOT8	0	0	0	21	0	0	0	0	0
ACOT9	1	0	0	122	0	67	0	0	0
ACOX1	0	0	0	4	0	7	0	0	0
ACOX2	0	0	0	2	0	0	0	0	0
ACOX3	1	0	0	2	0	3	0	0	0
ACP1	10	0	0	203	0	97	0	0	0
ACP2	0	0	0	0	0	0	0	0	0
ACP4	0	0	0	0	0	1	0	0	0
ACP5	0	0	0	1	0	5	0	0	0
ACP6	0	0	0	1	0	1	0	0	0
ACP7	0	0	0	0	0	0	0	0	0
ACPP	0	0	0	0	0	0	0	0	0
ACR	1	0	0	2	0	0	0	0	0
ACRBP	0	0	0	0	0	0	0	0	0
ACRV1	0	0	0	0	0	1	0	0	0
ACSBG1	0	0	0	1	0	0	0	0	0
ACSBG2	0	0	0	0	0	0	0	0	0
ACSF2	0	0	0	0	0	2	0	0	0
ACSF3	0	0	0	0	0	0	0	0	0
ACSL1	0	0	0	6	0	21	0	0	0
ACSL3	22	0	0	42	0	29	0	0	0
ACSL4	1	0	0	2	0	11	0	0	0
ACSL5	0	0	0	0	0	0	0	0	0
ACSL6	0	0	0	0	0	0	0	0	0
ACSM3	1	0	0	4	0	9	0	0	0
ACSM4	0	0	0	0	0	0	0	0	0
ACSM5	0	0	0	0	0	0	0	0	0
ACSS1	2	0	0	9	0	1	0	0	0
ACSS2	0	0	0	11	0	4	0	0	0
ACSS3	1	0	0	7	0	2	0	0	0
ACTA1	0	0	0	0	0	0	0	0	0
ACTA2	0	0	0	1	1	1	0	4	0
ACTB	13	0	0	119	1	64	0	0	0
ACTBL2	0	0	0	0	0	0	0	0	0
ACTC1	0	0	0	0	0	0	0	0	0
ACTG1	2	0	0	129	0	89	0	0	0
ACTG2	0	0	0	0	0	0	0	0	0
ACTL10	0	0	0	0	0	0	0	0	0
ACTL6A	59	0	0	195	0	100	1	0	0
ACTL6B	0	0	0	0	0	0	0	0	0
ACTL7A	0	0	0	0	0	0	0	0	0
ACTL7B	0	0	0	0	0	3	0	0	0
ACTL8	150	0	0	141	2	157	0	0	0
ACTN1	0	0	0	0	0	0	0	0	0
ACTN2	0	0	0	0	0	0	0	0	0
ACTN3	0	0	0	10	0	0	0	0	0
ACTN4	0	0	0	2	0	6	0	0	0
ACTR10	9	0	0	71	0	26	0	0	0
ACTR1A	0	0	0	12	0	10	0	0	0
ACTR1B	0	0	0	6	0	1	0	0	0
ACTR3	11	0	0	15	0	72	0	0	0
ACTR3B	3	0	0	26	0	14	0	0	0
ACTR5	0	0	0	0	0	4	0	0	0
ACTR6	63	0	1	129	0	68	0	0	0
ACTR8	0	0	0	11	0	1	0	0	0
ACTRT1	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0
ACTRT3	0	0	0	0	0	0	0	0	0
ACVR1	13	0	0	7	0	5	0	0	0
ACVR1B	9	0	0	4	0	13	0	0	0
ACVR1C	3	0	0	3	0	2	0	0	0
ACVR2A	7	1	0	15	1	37	0	0	0
ACVR2B	2	0	0	0	0	1	0	0	0
ACVRL1	0	0	0	0	0	0	0	0	0
ACY3	0	0	0	0	0	0	0	0	0
ACYP2	0	0	0	12	0	6	0	0	0
ADA2	0	0	0	0	0	0	0	0	0
