Gene	YF4_OO_sc.1	YF4_OO_sc.2	YF4_OO_sc.3	YF4_OO_sc.4	YF4_OO_sc.5	YF4_OO_sc.6	YF4_OO_sc.7	YF4_OO_sc.8	YF4_OO_sc.9	YF4_OO_sc.10	YF4_OO_sc.11	YF4_OO_sc.12	YF4_OO_sc.13	YF4_OO_sc.14	YF4_OO_sc.15	YF4_OO_sc.16	YF4_OO_sc.17	YF4_OO_sc.18	YF4_OO_sc.19	YF4_OO_sc.20	YF4_OO_sc.21	YF4_OO_sc.22	YF4_OO_sc.23	YF4_OO_sc.24	YF4_OO_sc.25	YF4_OO_sc.26	YF4_OO_sc.27	YF4_OO_sc.28	YF4_OO_sc.29	YF4_OO_sc.30	YF4_OO_sc.31	YF4_OO_sc.32	YF4_OO_sc.33	YF4_OO_sc.34	YF4_OO_sc.35	YF4_OO_sc.36	YF4_OO_sc.37	YF4_OO_sc.38	YF4_OO_sc.39	YF4_OO_sc.40	YF4_OO_sc.41	YF4_OO_sc.42	YF4_OO_sc.43	YF4_OO_sc.44	YF4_OO_sc.45	YF4_OO_sc.46	YF4_OO_sc.47	YF4_OO_sc.48	YF4_OO_sc.49	YF4_OO_sc.50	YF4_OO_sc.51	YF4_OO_sc.52	YF4_OO_sc.53	YF4_OO_sc.54	YF4_OO_sc.55	YF4_OO_sc.56	YF4_OO_sc.57	YF4_OO_sc.58	YF4_OO_sc.59	YF4_OO_sc.60	YF4_OO_sc.61	YF4_OO_sc.62	YF4_OO_sc.63	YF4_OO_sc.64	YF4_OO_sc.65	YF4_OO_sc.66
A2M	0	6	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
A2ML1	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	10	15	8	15	1	1	0	0	0	0	0	2	0	3	11	1	8	0	0	0	0	0	0	10	1	8	2	3	1	3	0	0	0	0	0	0	0	0	1	0	0	7	3	0	5	2	0
A3GALT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
A4GALT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	6	1	2	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	3	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	1	0
AAAS	1	14	12	1	13	11	7	3	4	2	47	24	16	19	10	9	21	13	136	97	197	144	278	12	40	18	14	0	1	2	20	10	92	102	16	85	7	15	4	10	7	2	151	71	173	81	46	1	77	7	7	24	4	9	9	8	27	8	37	32	193	51	5	71	85	11
AACS	0	2	2	2	7	1	5	0	0	1	11	2	4	9	0	2	1	5	30	44	99	27	35	1	3	4	4	6	6	1	1	1	12	26	4	23	0	0	0	0	3	1	43	11	56	13	21	0	15	4	2	4	0	0	1	3	3	4	6	8	22	13	0	9	9	1
AADAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
