Pathway identifier,Pathway name,#Entities found,#Entities total,#Interactors found,#Interactors total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Submitted entities hit interactor,Interacts with,Found reaction identifiers
R-HSA-140342,"Apoptosis induced DNA fragmentation",2,13,0,6,8.625837701546015E-4,9.354617121807296E-4,0.3629591443261231,2,12,8.793785724754507E-4,9606,Homo sapiens,"HIST1H1D","",,,"R-HSA-211239;R-HSA-211247"
R-HSA-9022702,"MECP2 regulates transcription of neuronal ligands",2,13,0,14,8.625837701546015E-4,0.0023206330749528936,0.45020281654086136,2,8,5.862523816503004E-4,9606,Homo sapiens,"CRH","",,,"R-HSA-9017983;R-HSA-9017988"
R-HSA-444473,"Formyl peptide receptors bind formyl peptides and many other ligands",1,11,0,7,7.298785747462014E-4,0.04330803719187071,0.5504492279831177,1,3,2.1984464311886268E-4,9606,Homo sapiens,"SAA1","",,,"R-HSA-391913"
R-HSA-2559584,"Formation of Senescence-Associated Heterochromatin Foci (SAHF)",2,17,0,116,0.001127994160971402,0.04413899446726344,0.5504492279831177,1,2,1.465630954125751E-4,9606,Homo sapiens,"HIST1H1D","",,,"R-HSA-4647594"
R-HSA-1296061,"HCN channels",0,6,1,13,3.981155862252007E-4,0.04579735338059532,0.5504492279831177,1,2,1.465630954125751E-4,9606,Homo sapiens,"","",PRKG1,17489,"R-HSA-1297444"
R-HSA-111957,"Cam-PDE 1 activation",0,8,1,13,5.308207816336009E-4,0.0507569042923286,0.5504492279831177,1,2,1.465630954125751E-4,9606,Homo sapiens,"","",PRKG1,17489,"R-HSA-111955"
R-HSA-418457,"cGMP effects",1,18,0,3,0.0011943467586756022,0.05322717096417151,0.5504492279831177,3,4,2.931261908251502E-4,9606,Homo sapiens,"PRKG1","",,,"R-HSA-418549;R-HSA-418451;R-HSA-418442"
R-HSA-165160,"PDE3B signalling",0,8,1,18,5.308207816336009E-4,0.06304521665795304,0.5504492279831177,1,2,1.465630954125751E-4,9606,Homo sapiens,"","",PRKG1,17489,"R-HSA-162425"
R-HSA-109703,"PKB-mediated events",0,8,1,18,5.308207816336009E-4,0.06304521665795304,0.5504492279831177,1,2,1.465630954125751E-4,9606,Homo sapiens,"","",PRKG1,17489,"R-HSA-162425"
R-HSA-170660,"Adenylate cyclase activating pathway",0,17,1,13,0.001127994160971402,0.07276318659138359,0.5504492279831177,1,4,2.931261908251502E-4,9606,Homo sapiens,"","",PRKG1,17489,"R-HSA-170676"
R-HSA-879415,"Advanced glycosylation endproduct receptor signaling",1,16,0,19,0.0010616415632672019,0.08238208312430728,0.5504492279831177,2,4,2.931261908251502E-4,9606,Homo sapiens,"SAA1","",,,"R-HSA-879411;R-HSA-879362"
R-HSA-164378,"PKA activation in glucagon signalling",0,23,1,13,0.0015261097471966027,0.08715468940373183,0.5504492279831177,1,2,1.465630954125751E-4,9606,Homo sapiens,"","",PRKG1,17489,"R-HSA-164377"
R-HSA-392154,"Nitric oxide stimulates guanylate cyclase",1,35,0,3,0.0023223409196470044,0.09426789289790771,0.5504492279831177,3,7,5.129708339440129E-4,9606,Homo sapiens,"PRKG1","",,,"R-HSA-418549;R-HSA-418451;R-HSA-418442"
R-HSA-933542,"TRAF6 mediated NF-kB activation",1,30,0,9,0.0019905779311260034,0.09426789289790771,0.5504492279831177,1,4,2.931261908251502E-4,9606,Homo sapiens,"SAA1","",,,"R-HSA-168166"
R-HSA-442380,"Zinc influx into cells by the SLC39 gene family",0,11,1,31,7.298785747462014E-4,0.10366748822922667,0.5504492279831177,1,6,4.3968928623772536E-4,9606,Homo sapiens,"","",KIAA1644,Q92504,"R-HSA-442393"
R-HSA-163615,"PKA activation",0,23,1,25,0.0015261097471966027,0.11065420855718788,0.5504492279831177,2,4,2.931261908251502E-4,9606,Homo sapiens,"","",PRKG1,17489,"R-HSA-8951727;R-HSA-111930"
R-HSA-3000471,"Scavenging by Class B Receptors",1,21,0,24,0.0013934045517882026,0.11065420855718788,0.5504492279831177,2,5,3.664077385314378E-4,9606,Homo sapiens,"SAA1","",,,"R-HSA-2512800;R-HSA-2197646"
